pid,Number,Name,Type1,Type2,HP,Spa,Spd,Spe,Att,Def,Experience,FinalEvolution,CatchRate,Legendary,outterR,innerR,leftX1,leftX2,rightX2,rightX1,innerX,Height,Weight,BMI
1,285,Shroomish,Grass,,45,65,65,45,40,60,1640000,0,255,0,5,1.25,250,252.75,260,255.25,254,0.7,6.9,14.1
2,286,Breloom,Grass,Fighting,60,80,80,60,130,80,1640000,1,90,0,10.5,2.625,79.5,89.875,100.5,95.125,92.5,1,13,13
3,296,Makuhita,Fighting,,80,100,100,80,60,30,1640000,0,180,0,4.5,1.125,175.5,180.375,184.5,182.625,181.5,2,100,25
4,297,Hariyama,Fighting,,80,122,120,80,120,60,1640000,1,200,0,9,2.25,191,200.75,209,205.25,203,2.4,155.5,27
5,314,Illumise,Bug,,39,60,50,65,47,75,1640000,1,150,0,6.1,1.525,143.9,147.075,156.1,150.125,148.6,0.6,8.5,23.6
6,316,Gulpin,Poison,,58,80,65,80,43,53,1640000,0,225,0,4.8,1.2,220.2,223.3,229.8,225.7,224.5,1.1,19,15.7
7,317,Swalot,Poison,,78,109,85,100,73,83,1640000,1,75,0,7.8,1.95,67.2,72.55,82.8,76.45,74.5,1.7,90.5,31.3
8,320,Wailmer,Water,,78,159,115,100,70,35,1640000,0,125,0,5.25,1.3125,119.75,125.4375,130.25,128.0625,126.75,1.7,100.5,34.8
9,321,Wailord,Water,,78,130,85,100,90,45,1640000,1,60,0,6.75,1.6875,53.25,60.5625,66.75,63.9375,62.25,1.7,110.5,38.2
10,336,Seviper,Poison,,44,50,64,43,100,60,1640000,1,90,0,8,2,82,90,98,94,92,0.5,9,36
11,341,Corphish,Water,,59,65,80,58,80,65,1640000,0,205,0,7.25,1.8125,197.75,203.9375,212.25,207.5625,205.75,1,22.5,22.5
12,342,Crawdaunt,Water,Dark,79,85,105,78,120,85,1640000,1,155,0,10.25,2.5625,144.75,154.1875,165.25,159.3125,156.75,1.6,85.5,33.4
13,425,Drifloon,Ghost,Flying,79,135,115,78,50,34,1640000,0,125,0,4.2,1.05,120.8,124.75,129.2,126.85,125.8,1.6,101.1,39.5
14,426,Drifblim,Ghost,Flying,45,20,20,45,80,44,1640000,1,60,0,6.2,1.55,53.8,60.25,66.2,63.35,61.8,0.3,2.9,32.2
15,58,Growlithe,Fire,,50,25,25,30,70,45,1250000,0,190,0,5.75,1.4375,184.25,189.8125,195.75,192.6875,191.25,0.7,9.9,20.2
16,59,Arcanine,Fire,,60,90,80,70,110,80,1250000,1,75,0,9.5,2.375,65.5,74.125,84.5,78.875,76.5,1.1,32,26.4
17,72,Tentacool,Water,Poison,40,20,20,50,40,35,1250000,0,190,0,3.75,0.9375,186.25,189.3125,193.75,191.1875,190.25,0.3,3.2,35.6
18,73,Tentacruel,Water,Poison,45,25,25,35,70,65,1250000,1,60,0,6.75,1.6875,53.25,58.5625,66.75,61.9375,60.25,0.6,10,27.8
19,90,Shellder,Water,,65,45,80,75,65,100,1250000,0,190,0,8.25,2.0625,181.75,186.1875,198.25,190.3125,188.25,1,29.5,29.5
20,91,Cloyster,Water,Ice,65,15,80,145,95,180,1250000,1,60,0,13.75,3.4375,46.25,52.3125,73.75,59.1875,55.75,1.4,40.5,20.7
21,102,Exeggcute,Grass,Psychic,40,35,35,56,40,80,1250000,0,90,0,6,1.5,84,86.5,96,89.5,88,0.3,1.8,20
22,103,Exeggutor,Grass,Psychic,63,50,50,71,95,85,1250000,1,45,0,9,2.25,36,43.25,54,47.75,45.5,1.1,30,24.8
23,103,Alolan Exeggutor,Grass,Dragon,83,70,70,101,105,85,1250000,1,45,0,9.5,2.375,35.5,43.625,54.5,48.375,46,1.5,39.5,17.6
24,111,Rhyhorn,Ground,Rock,83,135,80,121,85,95,1250000,0,120,0,9,2.25,111,117.25,129,121.75,119.5,2.2,50.5,10.4
25,112,Rhydon,Ground,Rock,30,25,35,72,130,120,1250000,0,60,0,12.5,3.125,47.5,57.375,72.5,63.625,60.5,0.3,3.5,38.9
26,120,Staryu,Water,,30,25,35,72,45,55,1250000,0,225,0,5,1.25,220,223.25,230,225.75,224.5,0.3,3.8,42.2
27,121,Starmie,Water,Psychic,55,50,70,97,75,85,1250000,1,60,0,8,2,52,57.5,68,61.5,59.5,0.7,18.5,37.8
28,127,Pinsir,Bug,,75,40,80,77,125,100,1250000,1,45,0,11.25,2.8125,33.75,43.4375,56.25,49.0625,46.25,0.7,25.5,52
29,127,Mega Pinsir,Bug,Flying,40,31,31,70,155,120,1250000,1,45,0,13.75,3.4375,31.25,43.3125,58.75,50.1875,46.75,0.3,2,22.2
30,128,Tauros,Normal,,65,61,61,100,100,95,1250000,1,45,0,9.75,2.4375,35.25,42.8125,54.75,47.6875,45.25,1.2,38,26.4
31,129,Magikarp,Water,,35,40,54,55,10,55,1250000,0,255,0,3.25,0.8125,251.75,251.9375,258.25,253.5625,252.75,2,6.9,1.7
