pid,Number,Name,Type1,Type2,Abilities,HP,Att,Def,Spa,Spd,Spe,BST,Mean,Experience,FinalEvolution,CatchRate,Legendary,Height,Weight,BMI,outterR,innerR,Img
269,1,Bulbasaur,Grass,Poison,"['Chlorophyll', 'Overgrow']",45,49,49,65,65,45,318,53,1059860,0,45,0,0.7,6.9,14.1,4.9,1.225,bulbasaur
270,2,Ivysaur,Grass,Poison,"['Chlorophyll', 'Overgrow']",60,62,63,80,80,60,405,67.5,1059860,0,45,0,1,13,13,6.25,1.5625,ivysaur
271,3,Venusaur,Grass,Poison,"['Chlorophyll', 'Overgrow']",80,82,83,100,100,80,525,87.5,1059860,1,45,0,2,100,25,8.25,2.0625,venusaur
272,3,Mega Venusaur,Grass,Poison,['Thick Fat'],80,100,123,122,120,80,625,104.1666667,1059860,1,45,0,2.4,155.5,27,11.15,2.7875,mega venusaur
273,4,Charmander,Fire,,"['Blaze', 'Solar Power']",39,52,43,60,50,65,309,51.5,1059860,0,45,0,0.6,8.5,23.6,4.75,1.1875,charmander
274,5,Charmeleon,Fire,,"['Blaze', 'Solar Power']",58,64,58,80,65,80,405,67.5,1059860,0,45,0,1.1,19,15.7,6.1,1.525,charmeleon
276,6,Charizard,Fire,Flying,"['Blaze', 'Solar Power']",78,84,78,109,85,100,534,89,1059860,1,45,0,1.7,90.5,31.3,8.1,2.025,charizard
275,6,Mega Charizard Y,Fire,Flying,['Drought'],78,104,78,159,115,100,634,105.6666667,1059860,1,45,0,1.7,100.5,34.8,9.1,2.275,mega charizard y
277,6,Mega Charizard X,Fire,Dragon,['Tough Claws'],78,130,111,130,85,100,634,105.6666667,1059860,1,45,0,1.7,110.5,38.2,12.05,3.0125,mega charizard x
278,7,Squirtle,Water,,"['Rain Dish', 'Torrent']",44,48,65,50,64,43,314,52.33333333,1059860,0,45,0,0.5,9,36,5.65,1.4125,squirtle
279,8,Wartortle,Water,,"['Rain Dish', 'Torrent']",59,63,80,65,80,58,405,67.5,1059860,0,45,0,1,22.5,22.5,7.15,1.7875,wartortle
281,9,Blastoise,Water,,"['Rain Dish', 'Torrent']",79,83,100,85,105,78,530,88.33333333,1059860,1,45,0,1.6,85.5,33.4,9.15,2.2875,blastoise
280,9,Mega Blastoise,Water,,['Mega Launcher'],79,103,120,135,115,78,630,105,1059860,1,45,0,1.6,101.1,39.5,11.15,2.7875,mega blastoise
513,10,Caterpie,Bug,,"['Run Away', 'Shield Dust']",45,30,35,20,20,45,195,32.5,1000000,0,255,0,0.3,2.9,32.2,3.25,0.8125,caterpie
514,11,Metapod,Bug,,['Shed Skin'],50,20,55,25,25,30,205,34.16666667,1000000,0,120,0,0.7,9.9,20.2,3.75,0.9375,metapod
515,12,Butterfree,Bug,Flying,['Tinted Lens'],60,45,50,90,80,70,395,65.83333333,1000000,1,45,0,1.1,32,26.4,4.75,1.1875,butterfree
516,13,Weedle,Bug,Poison,"['Run Away', 'Shield Dust']",40,35,30,20,20,50,195,32.5,1000000,0,255,0,0.3,3.2,35.6,3.25,0.8125,weedle
517,14,Kakuna,Bug,Poison,['Shed Skin'],45,25,50,25,25,35,205,34.16666667,1000000,0,120,0,0.6,10,27.8,3.75,0.9375,kakuna
518,15,Beedrill,Bug,Poison,"['Sniper', 'Swarm']",65,90,40,45,80,75,395,65.83333333,1000000,1,45,0,1,29.5,29.5,6.5,1.625,beedrill
519,15,Mega Beedrill,Bug,Poison,['Adaptability'],65,150,40,15,80,145,495,82.5,1000000,1,45,0,1.4,40.5,20.7,9.5,2.375,mega beedrill
282,16,Pidgey,Normal,Flying,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",40,45,40,35,35,56,251,41.83333333,1059860,0,255,0,0.3,1.8,20,4.25,1.0625,pidgey
283,17,Pidgeotto,Normal,Flying,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",63,60,55,50,50,71,349,58.16666667,1059860,0,120,0,1.1,30,24.8,5.75,1.4375,pidgeotto
