,Number,Name,Type1,Type2,Att,Def,Experience,FinalEvolution,CatchRate,Legendary
0,285,Shroomish,Grass,,40,60,1640000,0,255,0
2,296,Makuhita,Fighting,,60,30,1640000,0,180,0
5,316,Gulpin,Poison,,43,53,1640000,0,225,0
7,320,Wailmer,Water,,70,35,1640000,0,125,0
10,341,Corphish,Water,,80,65,1640000,0,205,0
12,425,Drifloon,Ghost,Flying,50,34,1640000,0,125,0
14,58,Growlithe,Fire,,70,45,1250000,0,190,0
16,72,Tentacool,Water,Poison,40,35,1250000,0,190,0
18,90,Shellder,Water,,65,100,1250000,0,190,0
20,102,Exeggcute,Grass,Psychic,40,80,1250000,0,90,0
23,111,Rhyhorn,Ground,Rock,85,95,1250000,0,120,0
24,112,Rhydon,Ground,Rock,130,120,1250000,0,60,0
25,120,Staryu,Water,,45,55,1250000,0,225,0
30,129,Magikarp,Water,,10,55,1250000,0,255,0
43,147,Dratini,Dragon,,64,45,1250000,0,45,0
44,148,Dragonair,Dragon,,84,65,1250000,0,45,0
49,170,Chinchou,Water,Electric,38,38,1250000,0,190,0
53,220,Swinub,Ice,Ground,50,40,1250000,0,225,0
54,221,Piloswine,Ice,Ground,100,80,1250000,0,75,0
57,228,Houndour,Dark,Fire,60,30,1250000,0,120,0
65,246,Larvitar,Rock,Ground,64,50,1250000,0,45,0
66,247,Pupitar,Rock,Ground,84,70,1250000,0,45,0
71,280,Ralts,Psychic,Fairy,25,25,1250000,0,235,0
72,281,Kirlia,Psychic,Fairy,35,35,1250000,0,120,0
75,287,Slakoth,Normal,,60,60,1250000,0,255,0
76,288,Vigoroth,Normal,,80,80,1250000,0,120,0
78,304,Aron,Steel,Rock,70,100,1250000,0,180,0
79,305,Lairon,Steel,Rock,90,140,1250000,0,90,0
82,309,Electrike,Electric,,45,40,1250000,0,120,0
85,318,Carvanha,Water,Dark,90,20,1250000,0,225,0
90,371,Bagon,Dragon,,75,60,1250000,0,45,0
91,372,Shelgon,Dragon,,95,100,1250000,0,45,0
94,374,Beldum,Steel,Psychic,55,80,1250000,0,3,0
95,375,Metang,Steel,Psychic,75,100,1250000,0,3,0
116,443,Gible,Dragon,Ground,70,45,1250000,0,45,0
117,444,Gabite,Dragon,Ground,90,65,1250000,0,45,0
120,446,Munchlax,Normal,,85,40,1250000,0,50,0
121,449,Hippopotas,Ground,,72,78,1250000,0,140,0
123,451,Skorupi,Poison,Bug,50,90,1250000,0,120,0
126,458,Mantyke,Water,Flying,20,50,1250000,0,25,0
127,459,Snover,Grass,Ice,62,50,1250000,0,120,0
149,582,Vanillite,Ice,,50,50,1250000,0,255,0
150,583,Vanillish,Ice,,65,65,1250000,0,120,0
152,602,Tynamo,Electric,,55,40,1250000,0,190,0
153,603,Eelektrik,Electric,,85,70,1250000,0,60,0
155,610,Axew,Dragon,,87,60,1250000,0,75,0
156,611,Fraxure,Dragon,,117,70,1250000,0,60,0
158,627,Rufflet,Normal,Flying,83,50,1250000,0,190,0
160,629,Vullaby,Dark,Flying,55,75,1250000,0,190,0
162,633,Deino,Dark,Dragon,65,50,1250000,0,45,0
163,634,Zweilous,Dark,Dragon,85,70,1250000,0,45,0
165,636,Larvesta,Bug,Fire,85,55,1250000,0,45,0
185,692,Clauncher,Water,,53,62,1250000,0,225,0
188,704,Goomy,Dragon,,50,35,1250000,0,45,0
189,705,Sliggoo,Dragon,,75,53,1250000,0,45,0
203,772,Type: Null,Normal,,95,95,1250000,0,3,1
206,782,Jangmo-o,Dragon,,55,65,1250000,0,45,0
207,783,Hakamo-o,Dragon,Fighting,75,90,1250000,0,45,0
213,789,Cosmog,Psychic,,29,31,1250000,0,45,1
214,790,Cosmoem,Psychic,,29,131,1250000,0,45,1
230,803,Poipole,Poison,,73,67,1250000,0,45,1
235,808,Meltan,Steel,,65,65,1250000,0,3,1
237,846,Arrokuda,Water,,63,40,1250000,0,255,0
239,856,Hatenna,Psychic,,30,45,1250000,0,235,0
240,857,Hattrem,Psychic,,40,65,1250000,0,120,0
243,875,Eiscue,Ice,,80,110,1250000,0,60,0
244,875,Eiscue Noice Face,Ice,,80,70,1250000,0,60,0
249,885,Dreepy,Dragon,Ghost,60,30,1250000,0,45,0
250,886,Drakloak,Dragon,Ghost,80,50,1250000,0,45,0
257,891,Kubfu,Fighting,,90,60,1250000,0,3,1
268,1,Bulbasaur,Grass,Poison,49,49,1059860,0,45,0
269,2,Ivysaur,Grass,Poison,62,63,1059860,0,45,0
272,4,Charmander,Fire,,52,43,1059860,0,45,0
273,5,Charmeleon,Fire,,64,58,1059860,0,45,0
277,7,Squirtle,Water,,48,65,1059860,0,45,0
278,8,Wartortle,Water,,63,80,1059860,0,45,0
281,16,Pidgey,Normal,Flying,45,40,1059860,0,255,0
282,17,Pidgeotto,Normal,Flying,60,55,1059860,0,120,0
285,29,Nidoran?£á,Poison,,47,52,1059860,0,235,0
286,30,Nidorina,Poison,,62,67,1059860,0,120,0
288,33,Nidorino,Poison,,72,57,1059860,0,120,0
290,43,Oddish,Grass,Poison,50,55,1059860,0,255,0
291,44,Gloom,Grass,Poison,65,70,1059860,0,120,0
293,60,Poliwag,Water,,50,40,1059860,0,255,0
294,61,Poliwhirl,Water,,65,65,1059860,0,120,0
296,63,Abra,Psychic,,20,15,1059860,0,200,0
297,64,Kadabra,Psychic,,35,30,1059860,0,100,0
300,66,Machop,Fighting,,80,50,1059860,0,180,0
301,67,Machoke,Fighting,,100,70,1059860,0,90,0
303,69,Bellsprout,Grass,Poison,75,35,1059860,0,255,0
304,70,Weepinbell,Grass,Poison,90,50,1059860,0,120,0
306,74,Geodude,Rock,Ground,80,100,1059860,0,255,0
307,74,Alolan Geodude,Rock,Electric,80,100,1059860,0,255,0
308,75,Graveler,Rock,Ground,95,115,1059860,0,120,0
309,75,Alolan Graveler,Rock,Electric,95,115,1059860,0,120,0
312,92,Gastly,Ghost,Poison,35,30,1059860,0,190,0
313,93,Haunter,Ghost,Poison,50,45,1059860,0,90,0
317,152,Chikorita,Grass,,49,65,1059860,0,45,0
318,153,Bayleef,Grass,,62,80,1059860,0,45,0
320,155,Cyndaquil,Fire,,52,43,1059860,0,45,0
321,156,Quilava,Fire,,64,58,1059860,0,45,0
323,158,Totodile,Water,,65,64,1059860,0,45,0
324,159,Croconaw,Water,,80,80,1059860,0,45,0
326,179,Mareep,Electric,,40,40,1059860,0,235,0
327,180,Flaaffy,Electric,,55,55,1059860,0,120,0
332,187,Hoppip,Grass,Flying,35,40,1059860,0,255,0
333,188,Skiploom,Grass,Flying,45,50,1059860,0,120,0
335,191,Sunkern,Grass,,30,30,1059860,0,235,0
337,198,Murkrow,Dark,Flying,85,42,1059860,0,30,0
338,207,Gligar,Ground,Flying,75,105,1059860,0,60,0
340,215,Sneasel,Dark,Ice,95,55,1059860,0,60,0
342,252,Treecko,Grass,,45,35,1059860,0,45,0
343,253,Grovyle,Grass,,65,45,1059860,0,45,0
346,255,Torchic,Fire,,60,40,1059860,0,45,0
347,256,Combusken,Fire,Fighting,85,60,1059860,0,45,0
350,258,Mudkip,Water,,70,50,1059860,0,45,0
351,259,Marshtomp,Water,Ground,85,70,1059860,0,45,0
354,270,Lotad,Water,Grass,30,30,1059860,0,255,0
355,271,Lombre,Water,Grass,50,50,1059860,0,120,0
357,273,Seedot,Grass,,40,50,1059860,0,255,0
358,274,Nuzleaf,Grass,Dark,70,40,1059860,0,120,0
360,276,Taillow,Normal,Flying,55,30,1059860,0,200,0
362,293,Whismur,Normal,,51,23,1059860,0,190,0
363,294,Loudred,Normal,,71,43,1059860,0,120,0
367,315,Roselia,Grass,Poison,60,45,1059860,0,150,0
368,328,Trapinch,Ground,,100,45,1059860,0,255,0
369,329,Vibrava,Ground,Dragon,70,50,1059860,0,120,0
371,331,Cacnea,Grass,,85,40,1059860,0,190,0
376,363,Spheal,Ice,Water,40,50,1059860,0,255,0
377,364,Sealeo,Ice,Water,60,70,1059860,0,120,0
379,387,Turtwig,Grass,,68,64,1059860,0,45,0
380,388,Grotle,Grass,,89,85,1059860,0,45,0
382,390,Chimchar,Fire,,58,44,1059860,0,45,0
383,391,Monferno,Fire,Fighting,78,52,1059860,0,45,0
385,393,Piplup,Water,,51,53,1059860,0,45,0
386,394,Prinplup,Water,,66,68,1059860,0,45,0
388,396,Starly,Normal,Flying,55,30,1059860,0,255,0
389,397,Staravia,Normal,Flying,75,50,1059860,0,120,0
391,401,Kricketot,Bug,,25,41,1059860,0,255,0
393,403,Shinx,Electric,,65,34,1059860,0,235,0
394,404,Luxio,Electric,,85,49,1059860,0,120,0
396,406,Budew,Grass,Poison,30,35,1059860,0,255,0
398,415,Combee,Bug,Flying,30,42,1059860,0,120,0
402,447,Riolu,Fighting,,70,40,1059860,0,75,0
409,495,Snivy,Grass,,45,55,1059860,0,45,0
410,496,Servine,Grass,,60,75,1059860,0,45,0
412,498,Tepig,Fire,,63,45,1059860,0,45,0
413,499,Pignite,Fire,Fighting,93,55,1059860,0,45,0
415,501,Oshawott,Water,,55,45,1059860,0,45,0
416,502,Dewott,Water,,75,60,1059860,0,45,0
418,506,Lillipup,Normal,,60,45,1059860,0,255,0
419,507,Herdier,Normal,,80,65,1059860,0,120,0
421,519,Pidove,Normal,Flying,55,50,1059860,0,255,0
422,520,Tranquill,Normal,Flying,77,62,1059860,0,120,0
424,524,Roggenrola,Rock,,75,85,1059860,0,255,0
425,525,Boldore,Rock,,105,105,1059860,0,120,0
427,532,Timburr,Fighting,,80,55,1059860,0,180,0
428,533,Gurdurr,Fighting,,105,85,1059860,0,90,0
430,535,Tympole,Water,,50,40,1059860,0,255,0
431,536,Palpitoad,Water,Ground,65,55,1059860,0,120,0
433,540,Sewaddle,Bug,Grass,53,70,1059860,0,255,0
434,541,Swadloon,Bug,Grass,63,90,1059860,0,120,0
436,543,Venipede,Bug,Poison,45,59,1059860,0,255,0
437,544,Whirlipede,Bug,Poison,55,99,1059860,0,120,0
439,551,Sandile,Ground,Dark,72,35,1059860,0,180,0
440,552,Krokorok,Ground,Dark,82,45,1059860,0,90,0
442,554,Darumaka,Fire,,90,45,1059860,0,120,0
443,554,Galarian Darumaka,Ice,,90,45,1059860,0,120,0
444,555,Darmanitan,Fire,,140,55,1059860,0,60,0
445,555,Darmanitan Zen-Mode,Fire,Psychic,30,105,1059860,0,60,0
446,555,Galarian Darmanitan,Ice,,140,55,1059860,0,60,0
447,555,Galarian Darmanitan Zen-Mode,Ice,Fire,160,55,1059860,0,60,0
448,570,Zorua,Dark,,65,40,1059860,0,75,0
450,574,Gothita,Psychic,,30,50,1059860,0,200,0
451,575,Gothorita,Psychic,,45,70,1059860,0,100,0
453,577,Solosis,Psychic,,30,40,1059860,0,200,0
454,578,Duosion,Psychic,,40,50,1059860,0,100,0
456,599,Klink,Steel,,55,70,1059860,0,130,0
457,600,Klang,Steel,,80,95,1059860,0,60,0
459,607,Litwick,Ghost,Fire,30,55,1059860,0,190,0
460,608,Lampent,Ghost,Fire,40,60,1059860,0,90,0
462,619,Mienfoo,Fighting,,85,50,1059860,0,180,0
464,650,Chespin,Grass,,61,65,1059860,0,45,0
465,651,Quilladin,Grass,,78,95,1059860,0,45,0
467,653,Fennekin,Fire,,45,40,1059860,0,45,0
468,654,Braixen,Fire,,59,58,1059860,0,45,0
470,656,Froakie,Water,,56,40,1059860,0,45,0
471,657,Frogadier,Water,,63,52,1059860,0,45,0
474,661,Fletchling,Normal,Flying,50,43,1059860,0,255,0
475,662,Fletchinder,Fire,Flying,73,55,1059860,0,120,0
477,667,Litleo,Fire,Normal,50,58,1059860,0,220,0
479,722,Rowlet,Grass,Flying,55,55,1059860,0,45,0
480,723,Dartrix,Grass,Flying,75,75,1059860,0,45,0
482,725,Litten,Fire,,65,40,1059860,0,45,0
483,726,Torracat,Fire,,85,50,1059860,0,45,0
485,728,Popplio,Water,,54,54,1059860,0,45,0
486,729,Brionne,Water,,69,69,1059860,0,45,0
488,761,Bounsweet,Grass,,30,38,1059860,0,235,0
489,762,Steenee,Grass,,40,48,1059860,0,120,0
491,774,Minior Meteor Form,Rock,Flying,60,100,1059860,0,30,0
492,774,Minior Core Form,Rock,Flying,100,60,1059860,0,30,0
493,810,Grookey,Grass,,65,50,1059860,0,45,0
494,811,Thwackey,Grass,,85,70,1059860,0,45,0
496,813,Scorbunny,Fire,,71,40,1059860,0,45,0
497,814,Raboot,Fire,,86,60,1059860,0,45,0
499,816,Sobble,Water,,40,40,1059860,0,45,0
500,817,Drizzile,Water,,60,55,1059860,0,45,0
502,821,Rookidee,Flying,,47,35,1059860,0,255,0
503,822,Corvisquire,Flying,,67,55,1059860,0,120,0
505,837,Rolycoly,Rock,,40,50,1059860,0,255,0
506,838,Carkol,Rock,Fire,60,90,1059860,0,120,0
508,848,Toxel,Electric,Poison,38,35,1059860,0,75,0
509,849,Toxtricity,Electric,Poison,98,70,1059860,0,45,0
510,852,Clobbopus,Fighting,,68,60,1059860,0,180,0
512,10,Caterpie,Bug,,30,35,1000000,0,255,0
513,11,Metapod,Bug,,20,55,1000000,0,120,0
515,13,Weedle,Bug,Poison,35,30,1000000,0,255,0
516,14,Kakuna,Bug,Poison,25,50,1000000,0,120,0
519,19,Rattata,Normal,,56,35,1000000,0,255,0
520,19,Alolan Rattata,Dark,Normal,56,35,1000000,0,255,0
523,21,Spearow,Normal,Flying,60,30,1000000,0,255,0
525,23,Ekans,Poison,,60,44,1000000,0,255,0
527,25,Pikachu,Electric,,55,40,1000000,0,190,0
530,27,Sandshrew,Ground,,75,85,1000000,0,255,0
531,27,Alolan Sandshrew,Ice,Steel,75,90,1000000,0,255,0
534,37,Vulpix,Fire,,41,40,1000000,0,190,0
535,37,Alolan Vulpix,Ice,,41,40,1000000,0,190,0
538,41,Zubat,Poison,Flying,45,35,1000000,0,255,0
539,42,Golbat,Poison,Flying,80,70,1000000,0,90,0
540,46,Paras,Bug,Grass,70,55,1000000,0,190,0
542,48,Venonat,Bug,Poison,55,50,1000000,0,190,0
544,50,Diglett,Ground,,55,25,1000000,0,255,0
545,50,Alolan Diglett,Ground,Steel,55,30,1000000,0,255,0
548,52,Meowth,Normal,,45,35,1000000,0,255,0
549,52,Alolan Meowth,Dark,,35,35,1000000,0,255,0
550,52,Galarian Meowth,Steel,,65,55,1000000,0,255,0
553,54,Psyduck,Water,,52,48,1000000,0,190,0
555,56,Mankey,Fighting,,80,35,1000000,0,190,0
557,77,Ponyta,Fire,,85,55,1000000,0,190,0
558,77,Galarian Ponyta,Psychic,,85,55,1000000,0,190,0
561,79,Slowpoke,Water,Psychic,65,65,1000000,0,190,0
562,79,Galarian Slowpoke,Psychic,,65,65,1000000,0,190,0
566,81,Magnemite,Electric,Steel,35,70,1000000,0,190,0
567,82,Magneton,Electric,Steel,60,95,1000000,0,60,0
569,83,Galarian Farfetch'd,Fighting,,95,55,1000000,0,45,0
570,84,Doduo,Normal,Flying,85,45,1000000,0,190,0
572,86,Seel,Water,,45,55,1000000,0,190,0
574,88,Grimer,Poison,,80,50,1000000,0,190,0
575,88,Alolan Grimer,Poison,Dark,80,50,1000000,0,190,0
578,95,Onix,Rock,Ground,45,160,1000000,0,45,0
579,96,Drowzee,Psychic,,48,45,1000000,0,190,0
581,98,Krabby,Water,,105,90,1000000,0,225,0
583,100,Voltorb,Electric,,30,50,1000000,0,190,0
585,104,Cubone,Ground,,50,95,1000000,0,190,0
590,108,Lickitung,Normal,,55,75,1000000,0,45,0
591,109,Koffing,Poison,,65,95,1000000,0,190,0
594,114,Tangela,Grass,,55,115,1000000,0,45,0
597,116,Horsea,Water,,40,70,1000000,0,225,0
598,117,Seadra,Water,,65,95,1000000,0,75,0
599,118,Goldeen,Water,,67,60,1000000,0,225,0
602,122,Galarian Mr. Mime,Ice,Psychic,65,65,1000000,0,45,0
603,123,Scyther,Bug,Flying,110,80,1000000,0,45,0
605,125,Electabuzz,Electric,,83,57,1000000,0,45,0
606,126,Magmar,Fire,,95,57,1000000,0,45,0
608,133,Eevee,Normal,,55,50,1000000,0,45,0
612,137,Porygon,Normal,,60,70,1000000,0,45,0
613,138,Omanyte,Rock,Water,40,100,1000000,0,45,0
615,140,Kabuto,Rock,Water,80,90,1000000,0,45,0
617,161,Sentret,Normal,,46,34,1000000,0,255,0
619,163,Hoothoot,Normal,Flying,30,30,1000000,0,255,0
622,172,Pichu,Electric,,40,15,1000000,0,190,0
623,177,Natu,Psychic,Flying,50,45,1000000,0,190,0
